date,symbol,yahoo_ticker,close_price
2026-02-03,JKH,JKH-N0000.CM,190.5
2026-02-03,COMB,COMB-N0000.CM,95.8
2026-02-03,HNB,HNB-N0000.CM,188.0
2026-02-04,AAF,AAF-N0000.CM,13.2
2026-02-04,AAIC,AAIC-N0000.CM,63.9
2026-02-04,ABAN,ABAN-N0000.CM,208.0
2026-02-04,ABL,ABL-N0000.CM,21.1
2026-02-04,ACAP,ACAP-N0000.CM,3.7
2026-02-04,ACL,ACL-N0000.CM,82.4
2026-02-04,ACME,ACME-N0000.CM,5.4
2026-02-04,AEL,AEL-N0000.CM,22.3
2026-02-04,AFS,AFS-N0000.CM,6.7
2026-02-04,AFSL,AFSL-N0000.CM,20.8
2026-02-04,AGAL,AGAL-N0000.CM,33.3
2026-02-04,AGPL,AGPL-N0000.CM,7.2
2026-02-04,AGST,AGST-X0000.CM,7.7
2026-02-04,AHPL,AHPL-N0000.CM,55.0
2026-02-04,AHUN,AHUN-N0000.CM,63.0
2026-02-04,AINS,AINS-N0000.CM,20.2
2026-02-04,ALLI,ALLI-N0000.CM,99.4
2026-02-04,ALUM,ALUM-N0000.CM,11.5
2026-02-04,AMF,AMF-N0000.CM,21.5
2026-02-04,AMSL,AMSL-N0000.CM,12.1
2026-02-04,APLA,APLA-N0000.CM,413.5
2026-02-04,ASCO,ASCO-N0000.CM,11.0
2026-02-04,ASHO,ASHO-N0000.CM,799.5
2026-02-04,ASIR,ASIR-N0000.CM,24.2
2026-02-04,ASIY,ASIY-N0000.CM,4.2
2026-02-04,ASPH,ASPH-N0000.CM,0.3
2026-02-04,ATL,ATL-N0000.CM,11.5
2026-02-04,ATLL,ATLL-N0000.CM,24.2
2026-02-04,AUTO,AUTO-N0000.CM,101.25
2026-02-04,BALA,BALA-N0000.CM,46.9
2026-02-04,BBH,BBH-N0000.CM,13.8
2026-02-04,BERU,BERU-N0000.CM,2.7
2026-02-04,BFL,BFL-N0000.CM,165.0
2026-02-04,BFN,BFN-N0000.CM,8.2
2026-02-04,BIL,BIL-N0000.CM,5.5
2026-02-04,BLUE,BLUE-N0000.CM,0.3
2026-02-04,BOGA,BOGA-N0000.CM,49.0
2026-02-04,BOPL,BOPL-N0000.CM,37.1
2026-02-04,BPPL,BPPL-N0000.CM,18.0
2026-02-04,BREW,BREW-N0000.CM,1900.0
2026-02-04,BRR,BRR-N0000.CM,13.0
2026-02-04,BRWN,BRWN-N0000.CM,113.75
2026-02-04,BUKI,BUKI-N0000.CM,390.75
2026-02-04,CABO,CABO-N0000.CM,57.5
2026-02-04,CALF,CALF-N0000.CM,39.4
2026-02-04,CARE,CARE-N0000.CM,43.0
2026-02-04,CARG,CARG-N0000.CM,385.0
2026-02-04,CARS,CARS-N0000.CM,286.0
2026-02-04,CBNK,CBNK-N0000.CM,7.7
2026-02-04,CCS,CCS-N0000.CM,56.1
2026-02-04,CDB,CDB-X0000.CM,94.7
2026-02-04,CERA,CERA-N0000.CM,98.1
2026-02-04,CFI,CFI-N0000.CM,64.0
2026-02-04,CFIN,CFIN-N0000.CM,106.25
2026-02-04,CFLB,CFLB-N0000.CM,29.9
2026-02-04,CFVF,CFVF-N0000.CM,27.4
2026-02-04,CHL,CHL-X0000.CM,92.0
2026-02-04,CHMX,CHMX-N0000.CM,80.3
2026-02-04,CHOT,CHOT-N0000.CM,18.5
2026-02-04,CIC,CIC-X0000.CM,52.6
2026-02-04,CIND,CIND-N0000.CM,112.5
2026-02-04,CINS,CINS-X0000.CM,915.0
2026-02-04,CINV,CINV-N0000.CM,48.5
2026-02-04,CIT,CIT-N0000.CM,112.75
2026-02-04,CITH,CITH-N0000.CM,4.1
2026-02-04,CITW,CITW-N0000.CM,2.2
2026-02-04,CLND,CLND-N0000.CM,19.5
2026-02-04,COCO,COCO-X0000.CM,10.4
2026-02-04,COCR,COCR-N0000.CM,38.0
2026-02-04,COLO,COLO-N0000.CM,90.0
2026-02-04,COMB,COMB-X0000.CM,76.3
2026-02-04,COMD,COMD-N0000.CM,115.5
2026-02-04,CONN,CONN-N0000.CM,19.5
2026-02-04,CPRT,CPRT-N0000.CM,114.5
2026-02-04,CRL,CRL-N0000.CM,5.8
2026-02-04,CSD,CSD-N0000.CM,16.3
2026-02-04,CSF,CSF-N0000.CM,0.2
2026-02-04,CTBL,CTBL-N0000.CM,5.2
2026-02-04,CTC,CTC-N0000.CM,1232.75
2026-02-04,CTEA,CTEA-N0000.CM,1000.0
2026-02-04,CTHR,CTHR-N0000.CM,295.0
2026-02-04,CTLD,CTLD-N0000.CM,24.1
2026-02-04,CWL,CWL-N0000.CM,9.6
2026-02-04,CWM,CWM-N0000.CM,93.3
2026-02-04,DFCC,DFCC-N0000.CM,71.0
2026-02-04,DIAL,DIAL-N0000.CM,9.4
2026-02-04,DIMO,DIMO-N0000.CM,585.5
2026-02-04,DIPD,DIPD-N0000.CM,35.1
2026-02-04,DIST,DIST-N0000.CM,26.2
2026-02-04,DOCK,DOCK-N0000.CM,44.2
2026-02-04,DPL,DPL-N0000.CM,21.5
2026-02-04,EAST,EAST-N0000.CM,10.4
2026-02-04,EBCR,EBCR-N0000.CM,24.0
2026-02-04,ECL,ECL-N0000.CM,13.3
2026-02-04,EDEN,EDEN-N0000.CM,12.2
2026-02-04,ELPL,ELPL-N0000.CM,99.0
2026-02-04,EMER,EMER-N0000.CM,7.0
2026-02-04,EML,EML-N0000.CM,3.2
2026-02-04,ETWO,ETWO-N0000.CM,38.8
2026-02-04,EXT,EXT,28.827
2026-02-04,FCT,FCT,9.945
2026-02-04,GEST,GEST-N0000.CM,104.75
2026-02-04,GHLL,GHLL-N0000.CM,16.0
2026-02-04,GLAS,GLAS-N0000.CM,29.0
2026-02-04,GRAN,GRAN-N0000.CM,171.5
2026-02-04,GREG,GREG-N0000.CM,38.7
2026-02-04,GUAR,GUAR-N0000.CM,97.0
2026-02-04,HAPU,HAPU-N0000.CM,31.0
2026-02-04,HARI,HARI-N0000.CM,4400.0
2026-02-04,HASU,HASU-N0000.CM,58.1
2026-02-04,HAYC,HAYC-N0000.CM,79.0
2026-02-04,HAYL,HAYL-N0000.CM,100.75
2026-02-04,HDFC,HDFC-N0000.CM,32.1
2026-02-04,HEXP,HEXP-N0000.CM,51.7
2026-02-04,HHL,HHL-N0000.CM,80.6
2026-02-04,HNB,HNB-X0000.CM,148.75
2026-02-04,HNBF,HNBF-X0000.CM,5.5
2026-02-04,HOPL,HOPL-N0000.CM,38.0
2026-02-04,HPFL,HPFL-N0000.CM,11.1
2026-02-04,HPL,HPL-N0000.CM,23.5
2026-02-04,HPWR,HPWR-N0000.CM,22.0
2026-02-04,HSIG,HSIG-N0000.CM,46.4
2026-02-04,HUNA,HUNA-N0000.CM,23.5
2026-02-04,HUNT,HUNT-N0000.CM,619.75
2026-02-04,JAT,JAT-N0000.CM,19.1
2026-02-04,JETS,JETS-N0000.CM,8.0
2026-02-04,JINS,JINS-N0000.CM,36.7
2026-02-04,JKH,JKH-N0000.CM,190.5
2026-02-04,JKL,JKL-N0000.CM,67.0
2026-02-04,KAHA,KAHA-N0000.CM,17.0
2026-02-04,KCAB,KCAB-N0000.CM,287.75
2026-02-04,KFP,KFP-N0000.CM,160.25
