date,symbol,yahoo_ticker,error
2026-02-04,CALH,CALH-N0000.CM,"HTTP 404 for CALH. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,CALT,CALT-N0000.CM,"HTTP 404 for CALT. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,COOP,COOP-N0000.CM,"HTTP 404 for COOP. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,CSLK,CSLK-N0000.CM,"HTTP 404 for CSLK. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,HBS,HBS-N0000.CM,Missing regularMarketPrice for HBS
2026-02-04,HELA,HELA-N0000.CM,"HTTP 404 for HELA. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,HVA,HVA-N0000.CM,Missing regularMarketPrice for HVA
2026-02-04,INME,INME-N0000.CM,"HTTP 404 for INME. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,JFP,JFP-N0000.CM,Missing regularMarketPrice for JFP
2026-02-04,LCBF,LCBF-N0000.CM,"HTTP 404 for LCBF. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,LGIL,LGIL-N0000.CM,"HTTP 404 for LGIL. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,LUMX,LUMX-N0000.CM,"HTTP 404 for LUMX. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,MFPE,MFPE-N0000.CM,"HTTP 404 for MFPE. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,PKME,PKME-N0000.CM,"HTTP 404 for PKME. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
2026-02-04,SWAD,SWAD-N0000.CM,"HTTP 404 for SWAD. Body starts: {""chart"":{""result"":null,""error"":{""code"":""Not Found"",""description"":""No data found, symbol may be delisted""}}}"
