symbol,company_name
AAF.N0000,Asia Asset Finance PLC
AAF.P0000,Asia Asset Finance PLC
AAIC.N0000,Softlogic Life Insurance PLC
ABAN.N0000,Abans Electricals PLC
ABL.N0000,Amãna Bank PLC
ACAP.N0000,Asia Capital PLC
ACL.N0000,ACL Cables PLC
ACME.N0000,ACME Printing and Packaging PLC
AEL.N0000,Access Engineering PLC
AFS.N0000,Alpha Fire Services PLC
AFSL.N0000,Abans Finance PLC
AGAL.N0000,Agalawatte Plantations PLC
AGPL.N0000,Agarapatana Plantations Limited
AGST.N0000,AgStar PLC
AGST.X0000,AgStar PLC
AHPL.N0000,Asian Hotels and Properties PLC
AHUN.N0000,Aitken Spence Hotel Holdings PLC
AINS.N0000,Arpico Insurance PLC
ALLI.N0000,Alliance Finance Company PLC
ALUM.N0000,Alumex PLC
AMF.N0000,Associated Motor Finance Company PLC
AMSL.N0000,Asiri Surgical Hospital PLC
APLA.N0000,ACL Plastics PLC
ASCO.N0000,Lanka Realty Investments PLC
ASHO.N0000,Lanka Ashok Leyland PLC
ASIR.N0000,Asiri Hospital Holdings PLC
ASIY.N0000,Asia Siyaka Commodities PLC
ASPH.N0000,Industrial Asphalts (Ceylon) PLC
ATL.N0000,Amãna Takaful PLC
ATLL.N0000,Amãna Takaful Life PLC
AUTO.N0000,The Autodrome PLC
BALA.N0000,Balangoda Plantations PLC
BBH.N0000,Browns Beach Hotels PLC
BERU.N0000,Beruwala Resorts PLC
BFL.N0000,Bairaha Farms PLC
BFN.N0000,JANASHAKTHI FINANCE PLC
BIL.N0000,Browns Investments PLC
BLUE.N0000,Blue Diamonds Jewellery Worldwide PLC
BOGA.N0000,Bogala Graphite Lanka PLC
BOPL.N0000,Bogawantalawa Tea Estates PLC
BPPL.N0000,BPPL Holdings PLC
BREW.N0000,Ceylon Beverage Holdings PLC
BRR.N0000,Bansei Royal Resorts Hikkaduwa PLC
BRWN.N0000,Brown and Company PLC
BUKI.N0000,Bukit Darah PLC
CABO.N0000,Cargo Boat Development Company PLC
CALF.N0000,Dialog Finance PLC
CALH.N0000,Capital Alliance Holdings Limited
CALT.N0000,Capital Alliance PLC
CARE.N0000,Printcare PLC
CARG.N0000,Cargills (Ceylon) PLC
CARS.N0000,Carson Cumberbatch PLC
CBNK.N0000,Cargills Bank PLC
CCS.N0000,Ceylon Cold Stores PLC
CDB.N0000,Citizens Development Business Finance PLC
CDB.X0000,Citizens Development Business Finance PLC
CERA.N0000,Lanka Ceramic PLC
CFI.N0000,Colombo Fort Investments PLC
CFIN.N0000,Central Finance Company PLC
CFLB.N0000,The Colombo Fort Land & Building PLC
CFVF.N0000,First Capital Holdings PLC
CHL.N0000,Ceylon Hospitals PLC
CHL.X0000,Ceylon Hospitals PLC
CHMX.N0000,Chemanex PLC
CHOT.N0000,Ceylon Hotels Corporation PLC
CIC.N0000,CIC Holdings PLC
CIC.X0000,CIC Holdings PLC
CIND.N0000,Central Industries PLC
CINS.N0000,Ceylinco Holdings PLC
CINS.X0000,Ceylinco Holdings PLC
CINV.N0000,Ceylon Investment PLC
CIT.N0000,Colombo Investment Trust PLC
CITH.N0000,Hikkaduwa Beach Resort PLC
CITW.N0000,Waskaduwa Beach Resort PLC
CLND.N0000,Colombo Land and Development Company PLC
COCO.N0000,Renuka Foods PLC
COCO.X0000,Renuka Foods PLC
COCR.N0000,Commercial Credit and Finance PLC
COLO.N0000,C M Holdings PLC
COMB.N0000,Commercial Bank of Ceylon PLC
COMB.X0000,Commercial Bank of Ceylon PLC
COMD.N0000,Commercial Development Company PLC
CONN.N0000,Hayleys Leisure PLC
COOP.N0000,Co-operative Insurance Company PLC
CPRT.N0000,Kerner Haus Global Solutions PLC
CRL.N0000,Softlogic Finance PLC
CSD.N0000,Seylan Developments PLC
CSF.N0000,Nation Lanka Finance PLC
CSLK.N0000,Cable Solutions PLC
CTBL.N0000,Ceylon Tea Brokers PLC
CTC.N0000,Ceylon Tobacco Company PLC
CTEA.N0000,Dilmah Ceylon Tea Company PLC
CTHR.N0000,C T Holdings PLC
CTLD.N0000,CT Land Development PLC
CWL.N0000,Chrissworld PLC
CWM.N0000,C. W. Mackie PLC
DFCC.N0000,DFCC Bank PLC
DIAL.N0000,Dialog Axiata PLC
DIMO.N0000,Diesel & Motor Engineering PLC
DIPD.N0000,Dipped Products PLC
DIST.N0000,Distilleries Company of Sri Lanka PLC
DOCK.N0000,Colombo Dockyard PLC
DPL.N0000,Dankotuwa Porcelain PLC
EAST.N0000,East West Properties PLC
EBCR.N0000,E.B. Creasy & Company PLC
ECL.N0000,eChannelling PLC
EDEN.N0000,Eden Hotel Lanka PLC
ELPL.N0000,Elpitiya Plantations PLC
EMER.N0000,Eastern Merchants PLC
EML.N0000,EML Consultants PLC
ETWO.N0000,Equity Two PLC
EXT.N0000,Exterminators Plc
FCT.N0000,First Capital Treasuries PLC
GEST.N0000,Gestetner of Ceylon PLC
GHLL.N0000,GALADARI Hotels (Lanka) PLC
GLAS.N0000,PGP Glass Ceylon PLC
GRAN.N0000,Ceylon Grain Elevators PLC
GREG.N0000,Ambeon Holdings PLC
GUAR.N0000,Ceylon Guardian Investment Trust PLC
HAPU.N0000,Hapugastenne Plantations PLC
HARI.N0000,Harischandra Mills PLC
HASU.N0000,HNB Assurance PLC
HAYC.N0000,Haycarb PLC
HAYL.N0000,Hayleys PLC
HBS.N0000,hSenid Business Solutions PLC
HDFC.N0000,Housing Development Finance Corporation Bank of Sri Lanka
HELA.N0000,Hela Apparel Holdings PLC
HEXP.N0000,Hayleys Fibre PLC
HHL.N0000,Hemas Holdings PLC
HNB.N0000,Hatton National Bank PLC
HNB.X0000,Hatton National Bank PLC
HNBF.N0000,HNB Finance PLC
HNBF.X0000,HNB Finance PLC
HOPL.N0000,Horana Plantations PLC
HPFL.N0000,Lotus Hydro Power PLC
HPL.N0000,Hatton Plantations PLC
HPWR.N0000,Resus Energy PLC
HSIG.N0000,Hotel Sigiriya PLC
HUNA.N0000,Hunas Holdings PLC
HUNT.N0000,Hunter & Company PLC
HVA.N0000,HVA Foods PLC
INME.N0000,InsureMe Insurance Brokers (Pvt) Ltd
JAT.N0000,JAT Holdings PLC
JETS.N0000,Jetwing Symphony PLC
JFP.N0000,JF Packaging Limited
JINS.N0000,Janashakthi Insurance PLC
JKH.N0000,John Keells Holdings PLC
JKL.N0000,John Keells PLC
